Site,Plot,Tree #,Species,Species Ac,DBH (in),DBH Class (1 inch bin),Distance Feet,Distance Inches,Total Distance (ft),Azimuth,Height,Live Crown Ratio (%),Class,Status,Age,BA/tree (sq. ft),BA/acre,TPA
Goose Island,12,7,RB,,18,,14,9,14.75,333,71.6,80,C,L,62,1.767096,17.67096,10
Goose Island,12,8,RB,,14.9,,14,9,14.75,333,71.6,80,C,L,66,1.21084254,12.1084254,10
Goose Island,14,1,ASH,,11.5,,20,0,20,26,64.3,35,D,L,76,0.7212915,7.212915,10
Goose Island,14,2,SWO,,11.3,,33,4,33.33333333,93,55.2,75,C,L,76,0.69642126,6.9642126,10
Goose Island,14,3,SWO,,7.7,,32,7,32.58333333,123,33.8,50,I,L,78,0.32336766,3.2336766,10
Goose Island,14,4,SWO,,10.3,,36,5,36.41666667,154,54.1,30,I,L,75,0.57861486,5.7861486,10
Goose Island,14,5,HB,,12.6,,21,3,21.25,163,70.5,90,D,L,35,0.86587704,8.6587704,10
Goose Island,14,6,OAK,,22.4,,34,0,34,205,74.9,60,D,L,83,2.73659904,27.3659904,10
Goose Island,14,7,ASH,,10.3,,3,5,3.416666667,236,57.1,75,C,L,76,0.57861486,5.7861486,10
Goose Island,14,8,ASH,,11.6,,4,0,4,307,61.5,50,C,L,71,0.73389024,7.3389024,10
Goose Island,14,9,ASH,,10.4,,4,0,4,307,61.5,50,C,L,73,0.58990464,5.8990464,10
Goose Island,10,1,RB,,14.2,,35,8,35.66666667,8,39,45,S,L,62,1.09974456,10.9974456,10
Goose Island,10,2,RB,,19.3,,32,0,32,192,57.4,60,D,L,46,2.03156046,20.3156046,10
Goose Island,10,3,BE,,6,,19,0,19,204,21.7,80,S,L,28,0.196344,1.96344,10
Goose Island,10,4,RB,,21.1,,30,3,30.25,218,66.6,70,D,L,52,2.42817534,24.2817534,10
Goose Island,10,5,ASH,,16,,6,2,6.166666667,264,59.6,80,C,D,37,1.396224,13.96224,10
Goose Island,10,6,RB,,14.4,,10,7,10.58333333,348,61.1,55,C,L,61,1.13094144,11.3094144,10
Goose Island,10,7,HB,,8.1,,25,0,25,354,52,60,I,L,34,0.35783694,3.5783694,10
Goose Island,13,1,RB,,10.6,,17,11,17.91666667,56,61.4,45,C,L,30,0.61281144,6.1281144,10
Goose Island,13,2,OAK,,14.5,,31,7,31.58333333,54,49.6,30,I,L,73,1.1467035,11.467035,10
Goose Island,13,3,OAK,,11.8,,29,10,29.83333333,71,57.7,55,I,L,70,0.75941496,7.5941496,10
Goose Island,13,4,OAK,,13.7,,37,3,37.25,96,67,45,C,L,75,1.02366126,10.2366126,10
Goose Island,13,5,OAK,,18.2,,15,4,15.33333333,111,61.2,25,D,L,74,1.80658296,18.0658296,10
Goose Island,13,6,OAK,,21.1,,19,4,19.33333333,147,66.3,35,C,L,75,2.42817534,24.2817534,10
Goose Island,13,7,SWO,,25.1,,4,3,4.25,240,74.8,55,D,L,90,3.43607454,34.3607454,10
Goose Island,13,8,AE,,10.6,,35,5,35.41666667,240,46.2,85,S,L,55,0.61281144,6.1281144,10
Goose Island,13,9,SWO,,32,,34,7,34.58333333,278,67.3,45,D,L,117,5.584896,55.84896,10
Goose Island,6,1,SWO,,15.4,,14,0,14,38,64.9,55,D,L,54,1.29347064,12.9347064,10
Goose Island,6,2,ASH,,10.6,,3,3,3.25,63,54.4,25,C,L,53,0.61281144,6.1281144,10
Goose Island,6,3,RB,,21.9,,17,5,17.41666667,107,68.2,40,D,L,66,2.61579294,26.1579294,10
Goose Island,6,4,RB,,14.1,,26,3,26.25,192,50.5,70,C,L,44,1.08430974,10.8430974,10
Goose Island,6,5,RB,,7.3,,17,9,17.75,235,40.6,50,I,L,44,0.29064366,2.9064366,10
Goose Island,6,6,RB,,6,,29,0,29,223,36.2,90,S,L,43,0.196344,1.96344,10
Goose Island,6,7,RB,,8.9,,33,7,33.58333333,238,40.2,90,I,L,40,0.43201134,4.3201134,10
Goose Island,6,8,RB,,8.2,,35,7,35.58333333,264,52.6,80,D,L,38,0.36672696,3.6672696,10
Goose Island,6,9,RB,,12.7,,35,7,35.58333333,264,52.6,80,D,L,37,0.87967566,8.7967566,10
Goose Island,6,10,RB,,10.2,,23,6,23.5,273,49,85,I,L,41,0.56743416,5.6743416,10
Goose Island,6,11,RB,,10.3,,24,3,24.25,370,58,80,C,L,38,0.57861486,5.7861486,10
Goose Island,4,1,ASH,,9.5,,7,8,7.666666667,18,60.8,40,D,L,54,0.4922235,4.922235,10
Goose Island,4,2,RB,,16,,31,0,31,138,52,50,C,L,NA,1.396224,13.96224,10
Goose Island,4,3,RB,,11.5,,16,8,16.66666667,225,45.6,40,S,L,75,0.7212915,7.212915,10
Goose Island,4,4,OAK,,20.9,,30,9,30.75,233,87.2,45,D,L,67,2.38236174,23.8236174,10
Goose Island,4,5,ASH,,7.2,,14,2,14.16666667,256,49.4,90,I,L,85,0.28273536,2.8273536,10
Goose Island,15,1,ASH,,5.7,,33,9,33.75,36,46.5,35,S,L,36,0.17720046,1.7720046,10
Goose Island,15,2,RB,,15.3,,13,2,13.16666667,48,76.1,60,D,L,45,1.27672686,12.7672686,10
Goose Island,15,3,RB,,14,,13,2,13.16666667,48,76.1,60,D,L,NA,1.068984,10.68984,10
Goose Island,15,4,ASH,,10.5,,18,1,18.08333333,77,47.3,55,I,L,41,0.6013035,6.013035,10
Goose Island,15,5,OAK,,6.9,,23,3,23.25,81,34.4,80,S,L,33,0.25966494,2.5966494,10
Goose Island,15,6,RB,,12.6,,14,10,14.83333333,118,57.9,20,C,L,NA,0.86587704,8.6587704,10
Goose Island,15,7,RB,,10.7,,18,7,18.58333333,118,53.3,20,C,L,48,0.62442846,6.2442846,10
Goose Island,15,8,OAK,,11.7,,29,6,29.5,130,65.7,30,D,L,36,0.74659806,7.4659806,10
Goose Island,15,9,RB,,11.2,,31,2,31.16666667,140,42.2,60,S,L,45,0.68414976,6.8414976,10
Goose Island,15,10,RB,,7.2,,21,10,21.83333333,187,41.8,50,I,L,37,0.28273536,2.8273536,10
Goose Island,15,11,RB,,7.7,,13,2,13.16666667,210,42.3,70,I,L,NA,0.32336766,3.2336766,10
Goose Island,15,12,RB,,12.3,,32,7,32.58333333,229,53.1,30,C,L,37,0.82513566,8.2513566,10
Goose Island,15,13,RB,,11.5,,15,9,15.75,277,38.8,10,C,L,NA,0.7212915,7.212915,10
Goose Island,15,14,RB,,9.2,,29,4,29.33333333,283,44,15,I,L,NA,0.46162656,4.6162656,10
Goose Island,15,15,RB,,7.7,,35,7,35.58333333,284,32,85,S,L,41,0.32336766,3.2336766,10
Goose Island,15,16,RB,,8.3,,28,2,28.16666667,339,59.7,40,C,L,39,0.37572606,3.7572606,10
Great River Harbor,1,1,SM,,9.2,,20,5,20.41666667,238,67.1,60,D,L,25,0.46162656,4.6162656,10
Great River Harbor,1,2,SM,,8.7,,20,5,20.41666667,238,67.1,60,D,L,17,0.41281326,4.1281326,10
Great River Harbor,1,3,SM,,7.6,,15,10,15.83333333,286,60.4,40,C,L,32,0.31502304,3.1502304,10
Great River Harbor,1,4,SM,,7.7,,23,10,23.83333333,288,55.1,20,I,L,50,0.32336766,3.2336766,10
Great River Harbor,1,5,SM,,8.7,,25,5,25.41666667,306,51.7,15,S,L,40,0.41281326,4.1281326,10
Great River Harbor,1,6,SM,,9.1,,34,0,34,310,48.4,35,S,L,43,0.45164574,4.5164574,10
Great River Harbor,1,7,SM,,5,,34,0,34,310,48.4,35,S,L,34,0.13635,1.3635,10
Great River Harbor,1,8,SM,,13.7,,35,7,35.58333333,352,55.7,40,I,L,38,1.02366126,10.2366126,10
